date_game,team,ml_odds
2021-03-17,PHI,-132
2021-03-17,NYR,112
2021-03-17,MTL,-117
2021-03-17,WPG,-103
2021-03-17,STL,-145
2021-03-17,LAK,125
2021-03-17,SJS,195
2021-03-17,VGK,-235
2021-03-17,EDM,-108
2021-03-17,CGY,-112
2021-03-18,NSH,172
2021-03-18,FLA,-205
2021-03-18,CHI,207
2021-03-18,TBL,-250
2021-03-18,CBJ,163
2021-03-18,CAR,-190
2021-03-18,PHI,124
2021-03-18,NYI,-144
2021-03-18,PIT,-165
2021-03-18,NJD,144
2021-03-18,DAL,-180
2021-03-18,DET,155
2021-03-18,MIN,140
2021-03-18,COL,-160
2021-03-18,WPG,117
2021-03-18,EDM,-137
2021-03-18,ARI,-130
2021-03-18,ANA,110
2021-03-18,BOS,-265
2021-03-18,BUF,218
2021-03-19,CGY,143
2021-03-19,TOR,-163
2021-03-19,VAN,155
2021-03-19,MTL,-180
2021-03-19,NYR,125
2021-03-19,WSH,-145
2021-03-19,STL,-157
2021-03-19,SJS,137
2021-03-19,VGK,-200
2021-03-19,LAK,170
2021-03-20,PIT,-158
2021-03-20,NJD,138
2021-03-20,NSH,176
2021-03-20,FLA,-210
2021-03-20,MIN,144
2021-03-20,COL,-165
2021-03-20,CHI,211
2021-03-20,TBL,-255
2021-03-20,PHI,118
2021-03-20,NYI,-138
2021-03-20,CGY,132
2021-03-20,TOR,-152
2021-03-20,VAN,152
2021-03-20,MTL,-177
2021-03-20,CBJ,166
2021-03-20,CAR,-195
2021-03-20,DAL,-183
2021-03-20,DET,158
2021-03-20,NYR,123
2021-03-20,WSH,-143
2021-03-20,ARI,-127
2021-03-20,ANA,107
2021-03-20,STL,-145
2021-03-20,SJS,125
2021-03-20,WPG,125
2021-03-20,EDM,-145
2021-03-21,NJD,170
2021-03-21,PIT,-200
2021-03-21,FLA,130
2021-03-21,TBL,-150
2021-03-21,VGK,-180
2021-03-21,LAK,155
2021-03-21,NSH,148
2021-03-21,DAL,-170
2021-03-22,BUF,188
2021-03-22,NYR,-225
2021-03-22,CAR,-160
2021-03-22,CBJ,140
2021-03-22,CGY,-173
2021-03-22,OTT,150
2021-03-22,NYI,-131
2021-03-22,PHI,111
2021-03-22,ANA,188
2021-03-22,MIN,-225
2021-03-22,COL,-211
2021-03-22,ARI,177
2021-03-22,WPG,-120
2021-03-22,VAN,100
2021-03-22,STL,131
2021-03-22,VGK,-151
2021-03-22,LAK,-130
2021-03-22,SJS,110
2021-03-23,NJD,144
2021-03-23,PHI,-165
2021-03-23,FLA,-150
2021-03-23,CHI,130
2021-03-23,DET,125
2021-03-23,NSH,-145
2021-03-23,TBL,-170
2021-03-23,DAL,148
2021-03-23,COL,-235
2021-03-23,ARI,195
2021-03-24,CGY,-180
2021-03-24,OTT,155
2021-03-24,ANA,195
2021-03-24,MIN,-235
2021-03-24,BUF,226
2021-03-24,PIT,-275
2021-03-24,LAK,-108
2021-03-24,SJS,-112
2021-03-24,WPG,-137
2021-03-24,VAN,117
2021-03-25,NYR,-108
2021-03-25,PHI,-112
2021-03-25,NYI,-105
2021-03-25,BOS,-115
2021-03-25,TOR,-255
2021-03-25,OTT,211
2021-03-25,NJD,158
2021-03-25,WSH,-183
2021-03-25,CAR,-165
2021-03-25,CBJ,144
2021-03-25,BUF,245
2021-03-25,PIT,-300
2021-03-25,DET,160
2021-03-25,NSH,-185
2021-03-25,FLA,-133
2021-03-25,CHI,113
2021-03-25,STL,115
2021-03-25,MIN,-135
2021-03-25,TBL,-170
2021-03-25,DAL,148
2021-03-25,VGK,140
2021-03-25,COL,-160
2021-03-26,NJD,176
2021-03-26,WSH,-210
2021-03-26,ANA,188
2021-03-26,STL,-225
2021-03-26,SJS,102
2021-03-26,ARI,-122
2021-03-26,WPG,102
2021-03-26,CGY,-122
2021-03-27,NYR,-120
2021-03-27,PHI,100
2021-03-27,BUF,292
2021-03-27,BOS,-365
2021-03-27,VGK,145
2021-03-27,COL,-166
2021-03-27,CBJ,-168
