Unnamed: 0,date_recorded,time_recorded,game_id,date_game,time_game,team,ml_odds
221.0,2023-02-28,09:03:23,111,2023-02-28,18:08:00,TB Lightning,−165
222.0,2023-02-28,09:03:23,112,2023-02-28,18:38:00,CBJ Blue Jackets,+175
223.0,2023-02-28,09:03:23,112,2023-02-28,18:38:00,BUF Sabres,−205
224.0,2023-02-28,09:03:23,113,2023-02-28,19:08:00,PIT Penguins,−135
225.0,2023-02-28,09:03:23,113,2023-02-28,19:08:00,NSH Predators,+115
226.0,2023-02-28,09:03:23,114,2023-02-28,19:08:00,SEA Kraken,−165
227.0,2023-02-28,09:03:23,114,2023-02-28,19:08:00,STL Blues,+140
228.0,2023-02-28,09:03:23,115,2023-02-28,19:08:00,NY Islanders,+115
229.0,2023-02-28,09:03:23,115,2023-02-28,19:08:00,MIN Wild,−135
230.0,2023-02-28,09:03:23,116,2023-02-28,19:08:00,LA Kings,+115
231.0,2023-02-28,09:03:23,116,2023-02-28,19:08:00,WPG Jets,−135
232.0,2023-02-28,09:03:23,117,2023-02-28,20:08:00,BOS Bruins,−130
233.0,2023-02-28,09:03:23,117,2023-02-28,20:08:00,CGY Flames,+110
234.0,2023-02-28,09:03:23,118,2023-02-28,20:08:00,CHI Blackhawks,+150
235.0,2023-02-28,09:03:23,118,2023-02-28,20:08:00,ARI Coyotes,−175
236.0,2023-02-28,09:03:23,119,2023-02-28,21:38:00,MTL Canadiens,+140
237.0,2023-02-28,09:03:23,119,2023-02-28,21:38:00,SJ Sharks,−165
238.0,2023-03-01,10:22:54,120,2023-03-01,18:30:00,NY Rangers,−200
239.0,2023-03-01,10:22:54,120,2023-03-01,18:30:00,PHI Flyers,+170
240.0,2023-03-01,10:22:54,121,2023-03-01,19:00:00,TOR Maple Leafs,−120
241.0,2023-03-01,10:22:54,121,2023-03-01,19:00:00,EDM Oilers,+100
242.0,2023-03-01,10:22:54,122,2023-03-01,19:30:00,ARI Coyotes,+300
243.0,2023-03-01,10:22:54,122,2023-03-01,19:30:00,DAL Stars,−365
244.0,2023-03-01,10:22:54,123,2023-03-01,20:00:00,NJ Devils,+110
245.0,2023-03-01,10:22:54,123,2023-03-01,20:00:00,COL Avalanche,−130
246.0,2023-03-01,10:22:54,124,2023-03-01,21:00:00,CAR Hurricanes,−140
247.0,2023-03-01,10:22:54,124,2023-03-01,21:00:00,VGK Golden Knights,+120
248.0,2023-03-01,10:22:54,125,2023-03-01,21:00:00,WAS Capitals,−180
249.0,2023-03-01,10:22:54,125,2023-03-01,21:00:00,ANA Ducks,+155
250.0,2023-03-02,10:52:46,126,2023-03-02,18:00:00,NSH Predators,+150
251.0,2023-03-02,10:52:46,126,2023-03-02,18:00:00,FLA Panthers,−175
252.0,2023-03-02,10:52:46,127,2023-03-02,18:00:00,OTT Senators,+135
253.0,2023-03-02,10:52:46,127,2023-03-02,18:00:00,NY Rangers,−155
254.0,2023-03-02,10:52:46,128,2023-03-02,18:00:00,PIT Penguins,+140
255.0,2023-03-02,10:52:46,128,2023-03-02,18:00:00,TB Lightning,−165
256.0,2023-03-02,10:52:46,129,2023-03-02,18:05:00,BUF Sabres,+245
257.0,2023-03-02,10:52:46,129,2023-03-02,18:05:00,BOS Bruins,−295
258.0,2023-03-02,10:52:46,130,2023-03-02,18:08:00,SEA Kraken,−115
259.0,2023-03-02,10:52:46,130,2023-03-02,18:08:00,DET Red Wings,−105
