team,date_recorded,time_recorded,date_game,time_game,line,odds
ARI,2023-11-04,10:13:02,2023-11-04,15:08:00,1.5,-250
BOS,2023-11-04,10:13:02,2023-11-04,18:08:00,-1.5,165
DET,2023-11-04,10:13:02,2023-11-04,18:08:00,1.5,-225
BUF,2023-11-04,10:13:02,2023-11-04,18:08:00,1.5,-140
TOR,2023-11-04,10:13:02,2023-11-04,18:08:00,-1.5,110
TBL,2023-11-04,10:13:02,2023-11-04,18:08:00,1.5,-250
OTT,2023-11-04,10:13:02,2023-11-04,18:08:00,-1.5,180
MTL,2023-11-04,10:13:02,2023-11-04,18:08:00,1.5,-265
STL,2023-11-04,10:13:02,2023-11-04,18:08:00,-1.5,190
CBJ,2023-11-04,10:13:02,2023-11-04,18:08:00,1.5,-210
WSH,2023-11-04,10:13:02,2023-11-04,18:08:00,-1.5,155
LAK,2023-11-04,10:13:02,2023-11-04,18:38:00,-1.5,130
PHI,2023-11-04,10:13:02,2023-11-04,18:38:00,1.5,-165
CAR,2023-11-04,10:13:02,2023-11-04,18:38:00,-1.5,180
NYI,2023-11-04,10:13:02,2023-11-04,18:38:00,1.5,-250
FLA,2023-11-04,10:13:02,2023-11-04,19:08:00,-1.5,120
CHI,2023-11-04,10:13:02,2023-11-04,19:08:00,1.5,-150
NYR,2023-11-04,10:13:02,2023-11-04,19:08:00,-1.5,210
MIN,2023-11-04,10:13:02,2023-11-04,19:08:00,1.5,-300
PIT,2023-11-04,10:13:02,2023-11-04,21:08:00,-1.5,100
SJS,2023-11-04,10:13:02,2023-11-04,21:08:00,1.5,-120
COL,2023-11-04,10:13:02,2023-11-04,21:08:00,-1.5,190
VGK,2023-11-04,10:13:02,2023-11-04,21:08:00,1.5,-265
DAL,2023-11-04,10:13:02,2023-11-04,21:08:00,-1.5,185
VAN,2023-11-04,10:13:02,2023-11-04,21:08:00,1.5,-260
CGY,2023-11-04,10:13:02,2023-11-04,21:08:00,1.5,-280
SEA,2023-11-04,10:13:02,2023-11-04,21:08:00,-1.5,200
NJD,2023-11-05,09:13:46,2023-11-05,17:00:00,-1.5,115
CHI,2023-11-05,09:13:46,2023-11-05,17:00:00,1.5,-145
VGK,2023-11-05,09:13:46,2023-11-05,18:00:00,-1.5,130
ANA,2023-11-05,09:13:46,2023-11-05,18:00:00,1.5,-165
CBJ,2023-11-06,11:13:31,2023-11-06,18:00:00,1.5,-130
FLA,2023-11-06,11:13:31,2023-11-06,18:00:00,-1.5,105
TBL,2023-11-06,11:13:31,2023-11-06,18:00:00,1.5,-205
TOR,2023-11-06,11:13:31,2023-11-06,18:00:00,-1.5,150
BOS,2023-11-06,11:13:31,2023-11-06,19:00:00,1.5,-250
DAL,2023-11-06,11:13:31,2023-11-06,19:00:00,-1.5,180
EDM,2023-11-06,11:13:31,2023-11-06,21:00:00,-1.5,195
VAN,2023-11-06,11:13:31,2023-11-06,21:00:00,1.5,-275
BUF,2023-11-07,10:05:00,2023-11-07,18:08:00,1.5,-140
CAR,2023-11-07,10:05:00,2023-11-07,18:08:00,-1.5,110
TBL,2023-11-07,10:05:00,2023-11-07,18:08:00,-1.5,160
MTL,2023-11-07,10:05:00,2023-11-07,18:08:00,1.5,-220
DET,2023-11-07,10:05:00,2023-11-07,18:38:00,1.5,-195
NYR,2023-11-07,10:05:00,2023-11-07,18:38:00,-1.5,145
MIN,2023-11-07,10:05:00,2023-11-07,18:38:00,1.5,-260
NYI,2023-11-07,10:05:00,2023-11-07,18:38:00,-1.5,185
WPG,2023-11-07,10:05:00,2023-11-07,19:08:00,-1.5,165
STL,2023-11-07,10:05:00,2023-11-07,19:08:00,1.5,-225
NSH,2023-11-07,10:05:00,2023-11-07,20:08:00,1.5,-240
CGY,2023-11-07,10:05:00,2023-11-07,20:08:00,-1.5,175
SEA,2023-11-07,10:05:00,2023-11-07,20:08:00,1.5,-280
ARI,2023-11-07,10:05:00,2023-11-07,20:08:00,-1.5,200
PIT,2023-11-07,10:05:00,2023-11-07,21:08:00,-1.5,130
ANA,2023-11-07,10:05:00,2023-11-07,21:08:00,1.5,-165
NJD,2023-11-07,10:05:00,2023-11-07,21:08:00,1.5,-175
COL,2023-11-07,10:05:00,2023-11-07,21:08:00,-1.5,135
PHI,2023-11-07,10:05:00,2023-11-07,21:38:00,-1.5,115
